;codigo;titulo;endereco;bairro;estado;cidade;area
ABCP11;ABCP11;Grand Plaza Shopping;Av. Industrial, 600;Tamanduateí 3;SP;Santo André;69.628,00 m2
AEFI11;AEFI11;Campinas;Avenida John Boyd Dunlop, s/n;Jardim Ipaussurama;SP;Campinas;96.435,16 m2
AEFI11;AEFI11;Cuiabá;Avenida Fernando Corrêa da Costa, s/nº;Nossa Senhora Aparecida;MT;Cuiabá;25.000,00 m2
AGCX11;AGCX11;Ag 14 Bis;Av. Marechal Câmara, 160;Centro;RJ;Rio de Janeiro;1.900,31 m2
AGCX11;AGCX11;Ag Av Chile;Av. República do Chile, 230;Centro;RJ;Rio de Janeiro;1.139,67 m2
AGCX11;AGCX11;Ag Av. Pres. Wilson;Av. Rio Branco, 311-B;Centro;RJ;Rio de Janeiro;713,62 m2
AGCX11;AGCX11;Ag Bandeira;R. Mariz e Barros, 79 (Loja);Praça da Bandeira;RJ;Rio de Janeiro;1.339,00 m2
AGCX11;AGCX11;Ag Barra Funda;Av. Rio Branco, 1675 (Loja);Campos Eliseos;SP;São Paulo;1.293,02 m2
AGCX11;AGCX11;Ag Benedito Coutinho;R. Antônio Bernardo Coutinho, 163;Centro;SP;Osasco;1.206,10 m2
AGCX11;AGCX11;Ag Campo Limpo;Est. do Campo Limpo, 5520;Vila Pirajussara;SP;São Paulo;604,00 m2
AGCX11;AGCX11;Ag Capão Redondo;Estrada de Itapecerica, 3429;Vila Maracana;SP;São Paulo;1.448,48 m2
AGCX11;AGCX11;Ag Carapicuiba;Av. Rui Barbosa, 281 (Calçadão);Centro;SP;Carapicuiba;1.949,20 m2
AGCX11;AGCX11;Ag Cipó Guaçu;R. Sesefredo Klein Doll, 12;Cipó Guaçu;SP;Embu-Guaçu;551,00 m2
AGCX11;AGCX11;Ag Estrada Rio do A;Est. Rio do A, 1131;;RJ;Campo Grande;571,41 m2
AGCX11;AGCX11;Ag Guaianases;R. Salvador Gianetti, 436;Guaianases;SP;São Paulo;2.475,10 m2
AGCX11;AGCX11;Ag Guarapiranga;Av. de Pinedo, 228;Capela do Socorro;SP;São Paulo;1.312,18 m2
AGCX11;AGCX11;Ag Hebraica;Av. Brigadeiro Faria Lima, 1644;Jardim Paulistano;SP;São Paulo;323,31 m2
AGCX11;AGCX11;Ag Imirim;Av. Imirim, 1271;Imirim;SP;São Paulo;1.384,34 m2
AGCX11;AGCX11;Ag Inconfidencia;R. Curitiba, 888;Centro;MG;Belo Horizonte;2.373,17 m2
AGCX11;AGCX11;Ag Industrial;Av. Comendador Alexandrino Garcia, 1285;Marta Helena;MG;Uberlândia;552,00 m2
AGCX11;AGCX11;Ag Ipanema;R. Visconde de Pirajá, 127;Ipanema;RJ;Rio de Janeiro;510,00 m2
AGCX11;AGCX11;Ag Itaquaquecetuba;R. Sebastião Ferreira dos Santos, 93;Centro;SP;Itaquaquecetuba;2.342,10 m2
AGCX11;AGCX11;Ag Jardim da Saúde;Av. do Cursino, 1348;Jardim da Saúde;SP;São Paulo;1.833,14 m2
AGCX11;AGCX11;Ag Jundiapeba;Al. Sto. Ângelo, 118;Jundiapeba;SP;Mogi das Cruzes;593,44 m2
AGCX11;AGCX11;Ag Leme;R. Antônio Vieira, 24 - Loja A;Leme;RJ;Rio de Janeiro;696,80 m2
AGCX11;AGCX11;Ag Meier;R. Dias da Cruz, 28-A (Loja);Meier;RJ;Rio de Janeiro;1.483,53 m2
AGCX11;AGCX11;Ag Nova Iguacu;Av. Marechal Floriano Peixoto, 2370;Centro;RJ;Nova Iguaçu;3.256,00 m2
AGCX11;AGCX11;Ag Osasco;Av. das Esmeraldas, 512 e R. Rubi, 371;Mutinga;SP;Osasco;804,00 m2
AGCX11;AGCX11;Ag Paes Leme;R. Paes Leme, 250 258;Pinheiros;SP;São Paulo;903,60 m2
AGCX11;AGCX11;Ag Pátio do Colégio;Lg. Páteo do Colégio, 1;Centro;SP;São Paulo;676,00 m2
AGCX11;AGCX11;Ag Pedro Vicente;R. Pedro Vicente, 222;Luz;SP;São Paulo;814,20 m2
AGCX11;AGCX11;Ag Pirituba;R. Guerino Giovani Leardini, 63/67;Vila Pirituba;SP;São Paulo;1.368,00 m2
AGCX11;AGCX11;Ag Planalto Paulista;Av. Indianópolis, 2125;Indianopolis;SP;São Paulo;1.299,00 m2
AGCX11;AGCX11;Ag Pq. Maria Helena;Av. Ver. João Batista Fitipaldi, 115;Vila Maluf;SP;Suzano;581,00 m2
AGCX11;AGCX11;Ag Quitauna;Av. dos Autonomistas, 5386;Vila Yara;SP;Osasco;2.250,00 m2
AGCX11;AGCX11;Ag R. dos Italianos;R. dos Italianos, 609 621 623;Bom Retiro;SP;São Paulo;520,50 m2
AGCX11;AGCX11;Ag Rec Bandeirantes;Av. das Américas, 15545;Recreio dos Bandeirantes;RJ;Rio de Janeiro;919,00 m2
AGCX11;AGCX11;Ag Rio Claro;Av. 1, 500;Centro;SP;Rio Claro;542,70 m2
AGCX11;AGCX11;Ag Santa Cecilia;R. das Palmeiras, 233 (Loja);Vila Buarque;SP;São Paulo;1.205,86 m2
AGCX11;AGCX11;Ag São Gonçalo;R. Dr. Nilo Peçanha, 125;Centro;RJ;São Gonçalo;1.388,00 m2
AGCX11;AGCX11;Ag Senador Queiros;Av. Senador Queiroz, 85 a 111;Centro;SP;São Paulo;1.446,96 m2
AGCX11;AGCX11;Ag Venda Nova;R. Padre Pedro Pinto, 1.580;Venda Nova;MG;Belo Horizonte;2.585,45 m2
AGCX11;AGCX11;Ag Via Anchieta;Via Anchieta, 1558;Vila Moinho;SP;São Paulo;1.785,00 m2
AGCX11;AGCX11;Ag Vila Mascote;Av. Santa Catarina, 287;Vila Alexandria;SP;São Paulo;753,36 m2
ALZR11;ALZR11;Air Liquide;Av. Presidente Wilson, 5874;Vila Carioca;SP;São Paulo;5.008,00 m2
ALZR11;ALZR11;Atento;Av. Dom Hélder Câmara, 3203;Del Castilho;RJ;Rio de Janeiro;8.178,00 m2
BBFI11B;BBFI11B;Centro Administrativo do Andaraí;Rua Barão São Francisco, 177;Andaraí;RJ;Rio de Janeiro;40.176,69 m2
BBFI11B;BBFI11B;Edíficio Sede I - Agência Banco do Brasil;Setor Bancário Sul Q. 1;;DF;Brasília;46.135,00 m2
BBPO11;BBPO11;Ag. Afonso Pena;Av. Afonso Pena, 2202;Centro;MS;Campo Grande;8.103,28 m2
BBPO11;BBPO11;Ag. Aldeota;Av. Santos Dumont, 2889;Aldeota;CE;Fortaleza;5.476,78 m2
BBPO11;BBPO11;Ag. Ana Rosa;Rua Domingos de Moraes, 438;Vila Mariana;SP;São Paulo;1.688,00 m2
BBPO11;BBPO11;Ag. Araçatuba;Pça. Rui Barbosa, 322;centro;SP;Araçatuba;6.070,59 m2
BBPO11;BBPO11;Ag. Asa Norte 504;Av. W-3 Qd 504 Asa Norte;;DF;Brasilia;4.593,67 m2
BBPO11;BBPO11;Ag. Asa Sul 507;Av. W-3 Qd.7 Lt.7, 8 e 9 - Asa Sul 507;;DF;Brasilia;1.757,82 m2
BBPO11;BBPO11;Ag. Belém Centro;Av. Pres. Vargas, 248;;PA;Belém;10.514,51 m2
BBPO11;BBPO11;Ag. Belo Horizonte;Rua Rio de Janeiro, 750;Centro;MG;Belo Horizonte;18.909,00 m2
BBPO11;BBPO11;Ag. Bom Retiro;Rua Julio Conceição, 438;Bom Retiro;SP;São Paulo;2.962,00 m2
BBPO11;BBPO11;Ag. Bonfim;Av. Gov. Pedro de Toledo, 1099;Bonfim;SP;Campinas;8.170,00 m2
BBPO11;BBPO11;Ag. Brás;Av. Rangel Pestana, 2128;Brás;SP;São Paulo;4.247,00 m2
BBPO11;BBPO11;Ag. Brooklin Paulista;Rua Joaquim Nabuco, 246;;SP;São Paulo;1.843,00 m2
BBPO11;BBPO11;Ag. Campinas;Rua Dr. Costa Aguiar, 626;Centro;SP;Campinas;5.981,84 m2
BBPO11;BBPO11;Ag. Campos Elíseos;Av. Rio Branco, 1.437;Campos Elíseos;SP;São Paulo;5.991,00 m2
