;Codigo;Nome;Preco;VolumeMedio;DividendYield;PatrimonioLiq;P/VP;Cotas;Segmento;Valorizacao12Meses
ABCP11;ABCP11;FDO INV IMOB GRAND PLAZA SHOPPING;R$ 99,78;4.519;0,44%;R$ 910 mi;1,35;1.000.000;Shoppings;0.15
AEFI11;AEFI11;AESAPAR FDO INV IMOB - FII;R$ 174,90;2.065;0,71%;R$ 110 mi;1,15;752.500;Outros;0.03
AGCX11;AGCX11;FDO INV IMOB AGÊNCIAS CAIXA - FII;R$ 1.235,50;240;0,69%;R$ 430 mi;1,16;405.000;Outros;0.0
ALZR11;ALZR11;ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB;R$ 97,50;3.435;0,69%;R$ 97 mi;1,00;997.042;Outros;0.02
BBFI11B;BBFI11B;BB FDO INV IMOB PROGRESSIVO;R$ 2.388,00;144;1,04%;R$ 400 mi;0,78;130.000;Lajes Corporativas;0.14
BBPO11;BBPO11;BB PROGRESSIVO II FDO INV IMOB - FII;R$ 139,00;21.486;0,73%;R$ 1,6 bi;1,35;15.919.690;Lajes Corporativas;0.08
BBRC11;BBRC11;BB RENDA CORPORATIVA FDO INV IMOB - FII;R$ 132,60;1.006;0,69%;R$ 160 mi;1,30;1.590.000;Outros;0.06
BBVJ11;BBVJ11;FDO INV IMOB BB VOTORANTIM JHSF C JARD CONT TOWER;R$ 58,04;5.071;0,61%;R$ 160 mi;0,99;2.710.000;Lajes Corporativas;-0.02
BCFF11;BCFF11;FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;R$ 84,51;27.383;0,62%;R$ 730 mi;0,98;1.452.738;Títulos e Val. Mob.;-0.04
BCIA11;BCIA11;BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII;R$ 115,01;890;0,68%;R$ 210 mi;0,94;820.115;Títulos e Val. Mob.;0.06
BCRI11;BCRI11;BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB  FII;R$ 119,70;3.217;0,76%;R$ 120 mi;1,19;500.000;Títulos e Val. Mob.;0.02
BMLC11B;BMLC11B;FDO INV IMOB BM BRASCAN LAJES CORPORATIVAS - FII;R$ 78,02;336;0,48%;R$ 93 mi;0,84;998.405;Lajes Corporativas;0.1
BNFS11;BNFS11;BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII;R$ 118,49;221;0,75%;R$ 64 mi;1,30;700.000;Outros;0.02
BPFF11;BPFF11;FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS;R$ 91,00;4.116;0,70%;R$ 260 mi;0,95;2.000.000;Títulos e Val. Mob.;-0.03
BRCR11;BRCR11;FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND;R$ 88,90;29.105;0,47%;R$ 2,1 bi;0,82;5.000;Híbrido;-0.14
BTCR11;BTCR11;FDO INV IMOB BTG PACTUAL CREDITO IMOBILIARIO;R$ 100,52;615;0,63%;R$ 69 mi;1,00;680.000;Títulos e Val. Mob.;0.0
BZLI11;BZLI11;BRAZIL REALTY FDO INV IMOB;R$ 14,70;16.803;0,00%;R$ 400 mi;1,20;12.021.180;Títulos e Val. Mob.;-0.02
CARE11;CARE11;BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII;R$ 1,38;48.490;0,00%;R$ 220 mi;0,98;415.700;Híbrido;0.03
